_id,timestamp,double_values_0,double_values_1,double_values_2,accuracy
10420,1373576765715,-2.713897705,4.16418457,6.573440552,2
10421,1373576765736,-1.678436279,4.04397583,9.642929077,2
10422,1373576765758,-1.879577637,3.638122559,10.34989929,2
10423,1373576765776,-1.852203369,3.899963379,9.189468384,2
10424,1373576765796,-1.610595703,4.193939209,9.241836548,2
10425,1373576765816,-2.033111572,4.010650635,8.262313843,2
10426,1373576765832,-1.830780029,3.967803955,8.582473755,2
10427,1373576765891,-1.329711914,4.070159912,8.784805298,2
10428,1373576765950,-1.383270264,4.020172119,8.627700806,2
10429,1373576766007,-1.489196777,4.147521973,9.070449829,2
10430,1373576766061,-1.377319336,4.074920654,9.623886108,2
10431,1373576766115,-1.374938965,3.788085938,9.369186401,2
10432,1373576766175,-1.579650879,3.673828125,8.419418335,2
10433,1373576766240,-1.017883301,3.528625488,8.993087769,2
10434,1373576766298,-1.109527588,3.61907959,9.050216675,2
10435,1373576766369,-1.136901855,3.626220703,9.078781128,2
10436,1373576766434,-1.128570557,3.617889404,9.143051147,2
10437,1373576766489,-1.166656494,3.626220703,9.138290405,2
10438,1373576766558,-1.041687012,3.688110352,9.231124878,2
10439,1373576766628,-0.979797363,3.558380127,9.23588562,2
10440,1373576766681,-0.991699219,3.575042725,9.069259644,2
10441,1373576766750,-1.091674805,3.589324951,8.975234985,2
10442,1373576766830,-1.302337646,3.546478271,9.024032593,2
10443,1373576766880,-1.313049316,3.546478271,9.019271851,2
10444,1373576766933,-1.285675049,3.495300293,8.907394409,2
10445,1373576766983,-1.295196533,3.419128418,9.020462036,2
10446,1373576767037,-1.270202637,3.46673584,9.125198364,2
10447,1373576767110,-1.291625977,3.508392334,9.145431519,2
10448,1373576767160,-1.398742676,3.527435303,9.265640259,2
10449,1373576767235,-1.308288574,3.501251221,9.319198608,2
10450,1373576767289,-1.44039917,3.447692871,9.253738403,2
10451,1373576767303,-1.407073975,3.403656006,9.218032837,2
10452,1373576767319,-1.421356201,3.347717285,9.185897827,2
10453,1373576767340,-1.426116943,3.257263184,9.138290405,2
10454,1373576767358,-1.378509521,3.15133667,9.091873169,2
10455,1373576767375,-1.371368408,3.2394104,9.035934448,2
10456,1373576767392,-1.348754883,3.235839844,8.983566284,2
10457,1373576767418,-1.402313232,3.297729492,8.979995728,2
10458,1373576767437,-1.471343994,3.365570068,8.918106079,2
10459,1373576767453,-1.445159912,3.403656006,8.955001831,2
10460,1373576767471,-1.396362305,3.497680664,8.988327026,2
10461,1373576767487,-1.363037109,3.508392334,9.010940552,2
10462,1373576767504,-1.294006348,3.471496582,9.133529663,2
10463,1373576767520,-1.274963379,3.49887085,9.171615601,2
10464,1373576767535,-1.283294678,3.476257324,9.291824341,2
10465,1373576767551,-1.339233398,3.446502686,9.363235474,2
10466,1373576767571,-1.404693604,3.370330811,9.408462524,2
10467,1373576767593,-1.445159912,3.248931885,9.333480835,2
10468,1373576767608,-1.428497314,3.159667969,9.244216919,2
10469,1373576767624,-1.474914551,3.120391846,9.269210815,2
10470,1373576767644,-1.576080322,3.068023682,9.107345581,2
10471,1373576767660,-1.740325928,3.013275146,9.074020386,2
10472,1373576767687,-1.768890381,2.979949951,8.938339233,2
10473,1373576767704,-1.78793335,2.965667725,9.068069458,2
10474,1373576767720,-1.845062256,2.994232178,9.309677124,2
10475,1373576767736,-1.748657227,2.970428467,9.364425659,2
10476,1373576767752,-1.683197021,3.023986816,9.187088013,2
10477,1373576767767,-1.567749023,3.064453125,9.159713745,2
10478,1373576767784,-1.541564941,3.083496094,8.981185913,2
10479,1373576767805,-1.453491211,3.138244629,8.889541626,2
10480,1373576767821,-1.354705811,3.270355225,8.791946411,2
10481,1373576767836,-1.24520874,3.50958252,8.89906311,2
10482,1373576767851,-1.033355713,3.871398926,9.04069519,2
10483,1373576767865,-1.120239258,4.080871582,9.231124878,2
10484,1373576767910,-1.511810303,4.007080078,9.135910034,2
10485,1373576767977,-1.759368896,3.872589111,9.091873169,2
10486,1373576768035,-1.793884277,3.854736328,9.003799438,2
10487,1373576768104,-1.677246094,3.654785156,8.871688843,2
10488,1373576768302,-1.601074219,3.575042725,9.008560181,2
10489,1373576768359,-1.576080322,3.575042725,9.047836304,2
10490,1373576768412,-1.54989624,3.609558105,9.263259888,2
10491,1373576768466,-1.570129395,3.592895508,9.195419312,2
10492,1373576768529,-1.577270508,3.573852539,9.190658569,2
10493,1373576768667,-1.502288818,3.535766602,9.140670776,2
10494,1373576768732,-1.505859375,3.573852539,9.26802063,2
10495,1373576768785,-1.463012695,3.475067139,9.251358032,2
10496,1373576768850,-1.522521973,3.45602417,9.201370239,2
10497,1373576768920,-1.46182251,3.429840088,9.116867065,2
10498,1373576768972,-1.537994385,3.426269531,9.053787231,2
10499,1373576769041,-1.507049561,3.406036377,8.947860718,2
